date,fragile,isPartial
2012-01-01,73,False
2012-01-08,97,False
2012-01-15,74,False
2012-01-22,87,False
2012-01-29,87,False
2012-02-05,93,False
2012-02-12,85,False
2012-02-19,84,False
2012-02-26,82,False
2012-03-04,94,False
2012-03-11,67,False
2012-03-18,81,False
2012-03-25,84,False
2012-04-01,83,False
2012-04-08,72,False
2012-04-15,99,False
2012-04-22,85,False
2012-04-29,81,False
2012-05-06,72,False
2012-05-13,92,False
2012-05-20,75,False
2012-05-27,71,False
2012-06-03,84,False
2012-06-10,74,False
2012-06-17,78,False
2012-06-24,63,False
2012-07-01,70,False
2012-07-08,78,False
2012-07-15,62,False
2012-07-22,83,False
2012-07-29,72,False
2012-08-05,64,False
2012-08-12,81,False
2012-08-19,63,False
2012-08-26,83,False
2012-09-02,65,False
2012-09-09,85,False
2012-09-16,85,False
2012-09-23,81,False
2012-09-30,76,False
2012-10-07,76,False
2012-10-14,72,False
2012-10-21,78,False
2012-10-28,79,False
2012-11-04,72,False
2012-11-11,75,False
2012-11-18,63,False
2012-11-25,92,False
2012-12-02,83,False
2012-12-09,100,False
2012-12-16,82,False
2012-12-23,82,False
2012-12-30,65,False
