date,fragile,isPartial
2015-01-04,70,False
2015-01-11,93,False
2015-01-18,83,False
2015-01-25,77,False
2015-02-01,84,False
2015-02-08,84,False
2015-02-15,78,False
2015-02-22,86,False
2015-03-01,82,False
2015-03-08,77,False
2015-03-15,85,False
2015-03-22,80,False
2015-03-29,78,False
2015-04-05,73,False
2015-04-12,79,False
2015-04-19,75,False
2015-04-26,72,False
2015-05-03,76,False
2015-05-10,74,False
2015-05-17,77,False
2015-05-24,69,False
2015-05-31,74,False
2015-06-07,72,False
2015-06-14,68,False
2015-06-21,66,False
2015-06-28,68,False
2015-07-05,76,False
2015-07-12,75,False
2015-07-19,73,False
2015-07-26,69,False
2015-08-02,70,False
2015-08-09,65,False
2015-08-16,66,False
2015-08-23,71,False
2015-08-30,80,False
2015-09-06,73,False
2015-09-13,72,False
2015-09-20,84,False
2015-09-27,78,False
2015-10-04,78,False
2015-10-11,78,False
2015-10-18,73,False
2015-10-25,84,False
2015-11-01,82,False
2015-11-08,85,False
2015-11-15,88,False
2015-11-22,75,False
2015-11-29,85,False
2015-12-06,100,False
2015-12-13,83,False
2015-12-20,89,False
2015-12-27,63,False
