geoName,hot-line
Alabama,0
Alaska,0
Arizona,70
Arkansas,0
California,38
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,0
Georgia,0
Hawaii,0
Idaho,0
Illinois,55
Indiana,100
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,0
Michigan,50
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,49
New Mexico,0
New York,14
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,95
Texas,30
Utah,0
Vermont,0
Virginia,0
Washington,0
West Virginia,0
Wisconsin,0
Wyoming,0
