geoName,clinical
Alabama,52
Alaska,33
Arizona,47
Arkansas,52
California,50
Colorado,44
Connecticut,83
Delaware,71
District of Columbia,57
Florida,50
Georgia,43
Hawaii,69
Idaho,42
Illinois,54
Indiana,67
Iowa,50
Kansas,61
Kentucky,54
Louisiana,48
Maine,55
Maryland,100
Massachusetts,89
Michigan,58
Minnesota,58
Mississippi,48
Missouri,56
Montana,42
Nebraska,58
Nevada,42
New Hampshire,56
New Jersey,73
New Mexico,58
New York,51
North Carolina,74
North Dakota,51
Ohio,57
Oklahoma,48
Oregon,43
Pennsylvania,76
Rhode Island,93
South Carolina,50
South Dakota,47
Tennessee,60
Texas,45
Utah,53
Vermont,52
Virginia,55
Washington,46
West Virginia,50
Wisconsin,60
Wyoming,35
