date,clinical,isPartial
2016-01-03,87,False
2016-01-10,88,False
2016-01-17,93,False
2016-01-24,100,False
2016-01-31,99,False
2016-02-07,97,False
2016-02-14,95,False
2016-02-21,97,False
2016-02-28,100,False
2016-03-06,95,False
2016-03-13,92,False
2016-03-20,88,False
2016-03-27,91,False
2016-04-03,98,False
2016-04-10,97,False
2016-04-17,94,False
2016-04-24,95,False
2016-05-01,91,False
2016-05-08,87,False
2016-05-15,90,False
2016-05-22,80,False
2016-05-29,78,False
2016-06-05,88,False
2016-06-12,86,False
2016-06-19,91,False
2016-06-26,83,False
2016-07-03,75,False
2016-07-10,85,False
2016-07-17,86,False
2016-07-24,80,False
2016-07-31,82,False
2016-08-07,84,False
2016-08-14,81,False
2016-08-21,92,False
2016-08-28,91,False
2016-09-04,91,False
2016-09-11,97,False
2016-09-18,89,False
2016-09-25,95,False
2016-10-02,92,False
2016-10-09,92,False
2016-10-16,95,False
2016-10-23,94,False
2016-10-30,95,False
2016-11-06,81,False
2016-11-13,97,False
2016-11-20,71,False
2016-11-27,97,False
2016-12-04,90,False
2016-12-11,82,False
2016-12-18,61,False
2016-12-25,54,False
