geoName,clinical
Alabama,54
Alaska,41
Arizona,52
Arkansas,44
California,55
Colorado,46
Connecticut,99
Delaware,72
District of Columbia,66
Florida,53
Georgia,47
Hawaii,71
Idaho,45
Illinois,59
Indiana,64
Iowa,45
Kansas,47
Kentucky,49
Louisiana,50
Maine,62
Maryland,100
Massachusetts,95
Michigan,62
Minnesota,57
Mississippi,45
Missouri,57
Montana,51
Nebraska,53
Nevada,43
New Hampshire,59
New Jersey,81
New Mexico,54
New York,59
North Carolina,81
North Dakota,56
Ohio,61
Oklahoma,41
Oregon,30
Pennsylvania,77
Rhode Island,89
South Carolina,52
South Dakota,57
Tennessee,56
Texas,51
Utah,54
Vermont,59
Virginia,44
Washington,44
West Virginia,56
Wisconsin,55
Wyoming,36
