date,clinical,isPartial
2014-01-05,88,False
2014-01-12,100,False
2014-01-19,93,False
2014-01-26,100,False
2014-02-02,97,False
2014-02-09,94,False
2014-02-16,92,False
2014-02-23,97,False
2014-03-02,94,False
2014-03-09,90,False
2014-03-16,92,False
2014-03-23,91,False
2014-03-30,95,False
2014-04-06,93,False
2014-04-13,93,False
2014-04-20,89,False
2014-04-27,89,False
2014-05-04,85,False
2014-05-11,91,False
2014-05-18,90,False
2014-05-25,84,False
2014-06-01,88,False
2014-06-08,88,False
2014-06-15,89,False
2014-06-22,86,False
2014-06-29,75,False
2014-07-06,86,False
2014-07-13,91,False
2014-07-20,93,False
2014-07-27,88,False
2014-08-03,89,False
2014-08-10,83,False
2014-08-17,91,False
2014-08-24,91,False
2014-08-31,91,False
2014-09-07,96,False
2014-09-14,99,False
2014-09-21,99,False
2014-09-28,97,False
2014-10-05,97,False
2014-10-12,92,False
2014-10-19,94,False
2014-10-26,97,False
2014-11-02,94,False
2014-11-09,92,False
2014-11-16,91,False
2014-11-23,66,False
2014-11-30,92,False
2014-12-07,83,False
2014-12-14,76,False
2014-12-21,46,False
2014-12-28,53,False
