date,clinical,isPartial
2013-01-06,89,False
2013-01-13,96,False
2013-01-20,96,False
2013-01-27,97,False
2013-02-03,92,False
2013-02-10,89,False
2013-02-17,92,False
2013-02-24,91,False
2013-03-03,92,False
2013-03-10,93,False
2013-03-17,91,False
2013-03-24,89,False
2013-03-31,90,False
2013-04-07,90,False
2013-04-14,90,False
2013-04-21,93,False
2013-04-28,87,False
2013-05-05,88,False
2013-05-12,87,False
2013-05-19,83,False
2013-05-26,80,False
2013-06-02,85,False
2013-06-09,85,False
2013-06-16,81,False
2013-06-23,85,False
2013-06-30,67,False
2013-07-07,90,False
2013-07-14,83,False
2013-07-21,87,False
2013-07-28,85,False
2013-08-04,84,False
2013-08-11,85,False
2013-08-18,90,False
2013-08-25,90,False
2013-09-01,87,False
2013-09-08,97,False
2013-09-15,93,False
2013-09-22,97,False
2013-09-29,100,False
2013-10-06,98,False
2013-10-13,94,False
2013-10-20,98,False
2013-10-27,93,False
2013-11-03,97,False
2013-11-10,98,False
2013-11-17,98,False
2013-11-24,69,False
2013-12-01,87,False
2013-12-08,88,False
2013-12-15,74,False
2013-12-22,49,False
2013-12-29,64,False
