geoName,clinical
Alabama,50
Alaska,46
Arizona,56
Arkansas,40
California,53
Colorado,50
Connecticut,81
Delaware,64
District of Columbia,59
Florida,56
Georgia,51
Hawaii,90
Idaho,45
Illinois,55
Indiana,59
Iowa,45
Kansas,57
Kentucky,52
Louisiana,54
Maine,50
Maryland,93
Massachusetts,100
Michigan,57
Minnesota,60
Mississippi,47
Missouri,53
Montana,53
Nebraska,50
Nevada,43
New Hampshire,52
New Jersey,75
New Mexico,51
New York,70
North Carolina,71
North Dakota,59
Ohio,55
Oklahoma,41
Oregon,48
Pennsylvania,74
Rhode Island,83
South Carolina,47
South Dakota,55
Tennessee,55
Texas,53
Utah,52
Vermont,61
Virginia,58
Washington,46
West Virginia,54
Wisconsin,57
Wyoming,35
