date,clinical,isPartial
2015-01-04,89,False
2015-01-11,89,False
2015-01-18,95,False
2015-01-25,97,False
2015-02-01,94,False
2015-02-08,90,False
2015-02-15,89,False
2015-02-22,94,False
2015-03-01,91,False
2015-03-08,93,False
2015-03-15,90,False
2015-03-22,89,False
2015-03-29,90,False
2015-04-05,93,False
2015-04-12,97,False
2015-04-19,94,False
2015-04-26,89,False
2015-05-03,89,False
2015-05-10,84,False
2015-05-17,86,False
2015-05-24,85,False
2015-05-31,94,False
2015-06-07,86,False
2015-06-14,84,False
2015-06-21,84,False
2015-06-28,78,False
2015-07-05,92,False
2015-07-12,89,False
2015-07-19,90,False
2015-07-26,92,False
2015-08-02,87,False
2015-08-09,93,False
2015-08-16,90,False
2015-08-23,100,False
2015-08-30,98,False
2015-09-06,96,False
2015-09-13,95,False
2015-09-20,97,False
2015-09-27,98,False
2015-10-04,100,False
2015-10-11,99,False
2015-10-18,96,False
2015-10-25,97,False
2015-11-01,100,False
2015-11-08,97,False
2015-11-15,95,False
2015-11-22,67,False
2015-11-29,89,False
2015-12-06,85,False
2015-12-13,82,False
2015-12-20,55,False
2015-12-27,55,False
