date,clinical,isPartial
2011-01-02,88,False
2011-01-09,91,False
2011-01-16,92,False
2011-01-23,97,False
2011-01-30,92,False
2011-02-06,95,False
2011-02-13,99,False
2011-02-20,98,False
2011-02-27,90,False
2011-03-06,86,False
2011-03-13,82,False
2011-03-20,93,False
2011-03-27,90,False
2011-04-03,100,False
2011-04-10,94,False
2011-04-17,89,False
2011-04-24,91,False
2011-05-01,85,False
2011-05-08,87,False
2011-05-15,90,False
2011-05-22,85,False
2011-05-29,81,False
2011-06-05,85,False
2011-06-12,86,False
2011-06-19,84,False
2011-06-26,87,False
2011-07-03,74,False
2011-07-10,84,False
2011-07-17,91,False
2011-07-24,83,False
2011-07-31,84,False
2011-08-07,74,False
2011-08-14,81,False
2011-08-21,84,False
2011-08-28,86,False
2011-09-04,86,False
2011-09-11,88,False
2011-09-18,89,False
2011-09-25,89,False
2011-10-02,89,False
2011-10-09,90,False
2011-10-16,96,False
2011-10-23,86,False
2011-10-30,94,False
2011-11-06,90,False
2011-11-13,87,False
2011-11-20,66,False
2011-11-27,86,False
2011-12-04,83,False
2011-12-11,80,False
2011-12-18,58,False
2011-12-25,50,False
