geoName,clinical
Alabama,62
Alaska,32
Arizona,50
Arkansas,54
California,56
Colorado,48
Connecticut,89
Delaware,80
District of Columbia,55
Florida,54
Georgia,45
Hawaii,77
Idaho,50
Illinois,54
Indiana,70
Iowa,52
Kansas,63
Kentucky,57
Louisiana,50
Maine,59
Maryland,100
Massachusetts,87
Michigan,57
Minnesota,62
Mississippi,49
Missouri,54
Montana,55
Nebraska,51
Nevada,46
New Hampshire,64
New Jersey,80
New Mexico,57
New York,56
North Carolina,77
North Dakota,62
Ohio,63
Oklahoma,48
Oregon,51
Pennsylvania,81
Rhode Island,97
South Carolina,54
South Dakota,60
Tennessee,70
Texas,51
Utah,65
Vermont,71
Virginia,59
Washington,44
West Virginia,65
Wisconsin,58
Wyoming,36
