geoName,clinical
Alabama,51
Alaska,39
Arizona,51
Arkansas,39
California,51
Colorado,47
Connecticut,95
Delaware,65
District of Columbia,50
Florida,52
Georgia,43
Hawaii,61
Idaho,39
Illinois,51
Indiana,60
Iowa,46
Kansas,45
Kentucky,47
Louisiana,54
Maine,52
Maryland,100
Massachusetts,96
Michigan,56
Minnesota,61
Mississippi,46
Missouri,55
Montana,46
Nebraska,52
Nevada,41
New Hampshire,53
New Jersey,72
New Mexico,41
New York,54
North Carolina,72
North Dakota,46
Ohio,59
Oklahoma,40
Oregon,32
Pennsylvania,74
Rhode Island,81
South Carolina,42
South Dakota,46
Tennessee,56
Texas,47
Utah,48
Vermont,66
Virginia,37
Washington,43
West Virginia,50
Wisconsin,51
Wyoming,41
