date,clinical,isPartial
2012-01-01,77,False
2012-01-08,96,False
2012-01-15,94,False
2012-01-22,95,False
2012-01-29,95,False
2012-02-05,94,False
2012-02-12,90,False
2012-02-19,97,False
2012-02-26,96,False
2012-03-04,95,False
2012-03-11,94,False
2012-03-18,91,False
2012-03-25,95,False
2012-04-01,90,False
2012-04-08,89,False
2012-04-15,93,False
2012-04-22,95,False
2012-04-29,92,False
2012-05-06,83,False
2012-05-13,88,False
2012-05-20,83,False
2012-05-27,81,False
2012-06-03,89,False
2012-06-10,90,False
2012-06-17,87,False
2012-06-24,82,False
2012-07-01,75,False
2012-07-08,87,False
2012-07-15,85,False
2012-07-22,84,False
2012-07-29,83,False
2012-08-05,79,False
2012-08-12,84,False
2012-08-19,85,False
2012-08-26,96,False
2012-09-02,87,False
2012-09-09,94,False
2012-09-16,100,False
2012-09-23,98,False
2012-09-30,88,False
2012-10-07,90,False
2012-10-14,90,False
2012-10-21,91,False
2012-10-28,86,False
2012-11-04,88,False
2012-11-11,90,False
2012-11-18,64,False
2012-11-25,91,False
2012-12-02,89,False
2012-12-09,78,False
2012-12-16,65,False
2012-12-23,47,False
2012-12-30,66,False
