date,disorder,isPartial
2016-01-03,75,False
2016-01-10,74,False
2016-01-17,75,False
2016-01-24,81,False
2016-01-31,81,False
2016-02-07,79,False
2016-02-14,86,False
2016-02-21,95,False
2016-02-28,87,False
2016-03-06,89,False
2016-03-13,87,False
2016-03-20,86,False
2016-03-27,89,False
2016-04-03,96,False
2016-04-10,96,False
2016-04-17,95,False
2016-04-24,96,False
2016-05-01,91,False
2016-05-08,86,False
2016-05-15,83,False
2016-05-22,83,False
2016-05-29,73,False
2016-06-05,70,False
2016-06-12,72,False
2016-06-19,70,False
2016-06-26,68,False
2016-07-03,70,False
2016-07-10,67,False
2016-07-17,71,False
2016-07-24,69,False
2016-07-31,69,False
2016-08-07,65,False
2016-08-14,63,False
2016-08-21,66,False
2016-08-28,69,False
2016-09-04,70,False
2016-09-11,76,False
2016-09-18,77,False
2016-09-25,82,False
2016-10-02,81,False
2016-10-09,79,False
2016-10-16,91,False
2016-10-23,89,False
2016-10-30,88,False
2016-11-06,77,False
2016-11-13,91,False
2016-11-20,76,False
2016-11-27,100,False
2016-12-04,97,False
2016-12-11,85,False
2016-12-18,63,False
2016-12-25,63,False
