date,disorder,isPartial
2015-01-04,79,False
2015-01-11,82,False
2015-01-18,81,False
2015-01-25,83,False
2015-02-01,87,False
2015-02-08,88,False
2015-02-15,88,False
2015-02-22,93,False
2015-03-01,91,False
2015-03-08,97,False
2015-03-15,88,False
2015-03-22,93,False
2015-03-29,84,False
2015-04-05,90,False
2015-04-12,91,False
2015-04-19,97,False
2015-04-26,97,False
2015-05-03,93,False
2015-05-10,85,False
2015-05-17,80,False
2015-05-24,78,False
2015-05-31,80,False
2015-06-07,76,False
2015-06-14,75,False
2015-06-21,69,False
2015-06-28,69,False
2015-07-05,74,False
2015-07-12,74,False
2015-07-19,75,False
2015-07-26,69,False
2015-08-02,70,False
2015-08-09,71,False
2015-08-16,71,False
2015-08-23,73,False
2015-08-30,74,False
2015-09-06,75,False
2015-09-13,82,False
2015-09-20,81,False
2015-09-27,87,False
2015-10-04,91,False
2015-10-11,84,False
2015-10-18,87,False
2015-10-25,89,False
2015-11-01,90,False
2015-11-08,91,False
2015-11-15,95,False
2015-11-22,78,False
2015-11-29,96,False
2015-12-06,100,False
2015-12-13,85,False
2015-12-20,60,False
2015-12-27,61,False
