date,disorder,isPartial
2013-01-06,72,False
2013-01-13,74,False
2013-01-20,78,False
2013-01-27,82,False
2013-02-03,86,False
2013-02-10,83,False
2013-02-17,86,False
2013-02-24,89,False
2013-03-03,86,False
2013-03-10,81,False
2013-03-17,86,False
2013-03-24,81,False
2013-03-31,84,False
2013-04-07,91,False
2013-04-14,93,False
2013-04-21,96,False
2013-04-28,100,False
2013-05-05,93,False
2013-05-12,88,False
2013-05-19,85,False
2013-05-26,82,False
2013-06-02,78,False
2013-06-09,77,False
2013-06-16,73,False
2013-06-23,72,False
2013-06-30,66,False
2013-07-07,72,False
2013-07-14,69,False
2013-07-21,70,False
2013-07-28,67,False
2013-08-04,68,False
2013-08-11,69,False
2013-08-18,69,False
2013-08-25,70,False
2013-09-01,70,False
2013-09-08,76,False
2013-09-15,77,False
2013-09-22,81,False
2013-09-29,84,False
2013-10-06,89,False
2013-10-13,84,False
2013-10-20,86,False
2013-10-27,88,False
2013-11-03,90,False
2013-11-10,91,False
2013-11-17,99,False
2013-11-24,75,False
2013-12-01,93,False
2013-12-08,91,False
2013-12-15,78,False
2013-12-22,58,False
2013-12-29,64,False
