date,disorder,isPartial
2014-01-05,77,False
2014-01-12,81,False
2014-01-19,73,False
2014-01-26,81,False
2014-02-02,81,False
2014-02-09,83,False
2014-02-16,87,False
2014-02-23,98,False
2014-03-02,92,False
2014-03-09,91,False
2014-03-16,87,False
2014-03-23,90,False
2014-03-30,92,False
2014-04-06,95,False
2014-04-13,90,False
2014-04-20,96,False
2014-04-27,100,False
2014-05-04,96,False
2014-05-11,93,False
2014-05-18,85,False
2014-05-25,77,False
2014-06-01,75,False
2014-06-08,75,False
2014-06-15,73,False
2014-06-22,73,False
2014-06-29,71,False
2014-07-06,72,False
2014-07-13,76,False
2014-07-20,72,False
2014-07-27,69,False
2014-08-03,69,False
2014-08-10,74,False
2014-08-17,71,False
2014-08-24,70,False
2014-08-31,73,False
2014-09-07,75,False
2014-09-14,81,False
2014-09-21,90,False
2014-09-28,90,False
2014-10-05,89,False
2014-10-12,84,False
2014-10-19,90,False
2014-10-26,87,False
2014-11-02,90,False
2014-11-09,92,False
2014-11-16,88,False
2014-11-23,75,False
2014-11-30,99,False
2014-12-07,93,False
2014-12-14,80,False
2014-12-21,61,False
2014-12-28,61,False
