date,disorder,isPartial
2011-01-02,73,False
2011-01-09,71,False
2011-01-16,76,False
2011-01-23,74,False
2011-01-30,75,False
2011-02-06,79,False
2011-02-13,88,False
2011-02-20,86,False
2011-02-27,86,False
2011-03-06,78,False
2011-03-13,78,False
2011-03-20,80,False
2011-03-27,86,False
2011-04-03,85,False
2011-04-10,100,False
2011-04-17,92,False
2011-04-24,94,False
2011-05-01,87,False
2011-05-08,85,False
2011-05-15,78,False
2011-05-22,81,False
2011-05-29,71,False
2011-06-05,73,False
2011-06-12,68,False
2011-06-19,70,False
2011-06-26,69,False
2011-07-03,62,False
2011-07-10,64,False
2011-07-17,67,False
2011-07-24,65,False
2011-07-31,74,False
2011-08-07,68,False
2011-08-14,63,False
2011-08-21,65,False
2011-08-28,64,False
2011-09-04,66,False
2011-09-11,72,False
2011-09-18,73,False
2011-09-25,78,False
2011-10-02,74,False
2011-10-09,76,False
2011-10-16,76,False
2011-10-23,79,False
2011-10-30,81,False
2011-11-06,82,False
2011-11-13,88,False
2011-11-20,70,False
2011-11-27,92,False
2011-12-04,89,False
2011-12-11,82,False
2011-12-18,57,False
2011-12-25,57,False
