date,disorder,isPartial
2012-01-01,73,False
2012-01-08,80,False
2012-01-15,77,False
2012-01-22,83,False
2012-01-29,85,False
2012-02-05,88,False
2012-02-12,86,False
2012-02-19,87,False
2012-02-26,90,False
2012-03-04,89,False
2012-03-11,85,False
2012-03-18,90,False
2012-03-25,91,False
2012-04-01,84,False
2012-04-08,86,False
2012-04-15,95,False
2012-04-22,93,False
2012-04-29,89,False
2012-05-06,89,False
2012-05-13,85,False
2012-05-20,77,False
2012-05-27,73,False
2012-06-03,81,False
2012-06-10,88,False
2012-06-17,85,False
2012-06-24,73,False
2012-07-01,64,False
2012-07-08,75,False
2012-07-15,72,False
2012-07-22,74,False
2012-07-29,69,False
2012-08-05,68,False
2012-08-12,73,False
2012-08-19,68,False
2012-08-26,74,False
2012-09-02,73,False
2012-09-09,76,False
2012-09-16,82,False
2012-09-23,82,False
2012-09-30,90,False
2012-10-07,81,False
2012-10-14,84,False
2012-10-21,85,False
2012-10-28,80,False
2012-11-04,83,False
2012-11-11,94,False
2012-11-18,76,False
2012-11-25,97,False
2012-12-02,100,False
2012-12-09,89,False
2012-12-16,80,False
2012-12-23,57,False
2012-12-30,65,False
