date,agony,isPartial
2015-01-04,100,False
2015-01-11,77,False
2015-01-18,84,False
2015-01-25,66,False
2015-02-01,58,False
2015-02-08,61,False
2015-02-15,57,False
2015-02-22,60,False
2015-03-01,58,False
2015-03-08,68,False
2015-03-15,51,False
2015-03-22,60,False
2015-03-29,68,False
2015-04-05,66,False
2015-04-12,64,False
2015-04-19,58,False
2015-04-26,60,False
2015-05-03,62,False
2015-05-10,53,False
2015-05-17,55,False
2015-05-24,52,False
2015-05-31,53,False
2015-06-07,50,False
2015-06-14,44,False
2015-06-21,45,False
2015-06-28,54,False
2015-07-05,45,False
2015-07-12,45,False
2015-07-19,44,False
2015-07-26,60,False
2015-08-02,55,False
2015-08-09,45,False
2015-08-16,56,False
2015-08-23,46,False
2015-08-30,47,False
2015-09-06,54,False
2015-09-13,53,False
2015-09-20,42,False
2015-09-27,56,False
2015-10-04,55,False
2015-10-11,43,False
2015-10-18,49,False
2015-10-25,54,False
2015-11-01,55,False
2015-11-08,48,False
2015-11-15,56,False
2015-11-22,44,False
2015-11-29,47,False
2015-12-06,48,False
2015-12-13,47,False
2015-12-20,41,False
2015-12-27,48,False
