date,youth,isPartial
2012-01-01,76,False
2012-01-08,87,False
2012-01-15,87,False
2012-01-22,84,False
2012-01-29,86,False
2012-02-05,87,False
2012-02-12,83,False
2012-02-19,90,False
2012-02-26,95,False
2012-03-04,95,False
2012-03-11,94,False
2012-03-18,96,False
2012-03-25,94,False
2012-04-01,87,False
2012-04-08,87,False
2012-04-15,99,False
2012-04-22,100,False
2012-04-29,95,False
2012-05-06,94,False
2012-05-13,91,False
2012-05-20,91,False
2012-05-27,91,False
2012-06-03,97,False
2012-06-10,93,False
2012-06-17,88,False
2012-06-24,85,False
2012-07-01,73,False
2012-07-08,86,False
2012-07-15,84,False
2012-07-22,88,False
2012-07-29,90,False
2012-08-05,88,False
2012-08-12,89,False
2012-08-19,85,False
2012-08-26,92,False
2012-09-02,92,False
2012-09-09,93,False
2012-09-16,91,False
2012-09-23,89,False
2012-09-30,90,False
2012-10-07,88,False
2012-10-14,89,False
2012-10-21,88,False
2012-10-28,81,False
2012-11-04,83,False
2012-11-11,86,False
2012-11-18,75,False
2012-11-25,89,False
2012-12-02,87,False
2012-12-09,83,False
2012-12-16,70,False
2012-12-23,53,False
2012-12-30,70,False
