date,youth,isPartial
2013-01-06,86,False
2013-01-13,87,False
2013-01-20,88,False
2013-01-27,89,False
2013-02-03,90,False
2013-02-10,88,False
2013-02-17,95,False
2013-02-24,100,False
2013-03-03,97,False
2013-03-10,95,False
2013-03-17,98,False
2013-03-24,90,False
2013-03-31,88,False
2013-04-07,96,False
2013-04-14,92,False
2013-04-21,95,False
2013-04-28,98,False
2013-05-05,94,False
2013-05-12,95,False
2013-05-19,92,False
2013-05-26,91,False
2013-06-02,94,False
2013-06-09,94,False
2013-06-16,86,False
2013-06-23,84,False
2013-06-30,73,False
2013-07-07,83,False
2013-07-14,85,False
2013-07-21,93,False
2013-07-28,93,False
2013-08-04,92,False
2013-08-11,91,False
2013-08-18,91,False
2013-08-25,91,False
2013-09-01,94,False
2013-09-08,98,False
2013-09-15,91,False
2013-09-22,92,False
2013-09-29,91,False
2013-10-06,93,False
2013-10-13,91,False
2013-10-20,87,False
2013-10-27,88,False
2013-11-03,92,False
2013-11-10,90,False
2013-11-17,86,False
2013-11-24,76,False
2013-12-01,91,False
2013-12-08,89,False
2013-12-15,82,False
2013-12-22,54,False
2013-12-29,68,False
