date,youth,isPartial
2011-01-02,87,False
2011-01-09,84,False
2011-01-16,86,False
2011-01-23,88,False
2011-01-30,85,False
2011-02-06,87,False
2011-02-13,92,False
2011-02-20,96,False
2011-02-27,100,False
2011-03-06,99,False
2011-03-13,94,False
2011-03-20,100,False
2011-03-27,98,False
2011-04-03,99,False
2011-04-10,99,False
2011-04-17,93,False
2011-04-24,91,False
2011-05-01,96,False
2011-05-08,95,False
2011-05-15,100,False
2011-05-22,96,False
2011-05-29,93,False
2011-06-05,99,False
2011-06-12,96,False
2011-06-19,89,False
2011-06-26,84,False
2011-07-03,78,False
2011-07-10,87,False
2011-07-17,89,False
2011-07-24,93,False
2011-07-31,91,False
2011-08-07,94,False
2011-08-14,97,False
2011-08-21,95,False
2011-08-28,89,False
2011-09-04,95,False
2011-09-11,97,False
2011-09-18,96,False
2011-09-25,96,False
2011-10-02,93,False
2011-10-09,93,False
2011-10-16,92,False
2011-10-23,91,False
2011-10-30,91,False
2011-11-06,92,False
2011-11-13,89,False
2011-11-20,76,False
2011-11-27,92,False
2011-12-04,90,False
2011-12-11,86,False
2011-12-18,62,False
2011-12-25,55,False
