date,youth,isPartial
2015-01-04,80,False
2015-01-11,85,False
2015-01-18,90,False
2015-01-25,85,False
2015-02-01,81,False
2015-02-08,81,False
2015-02-15,83,False
2015-02-22,88,False
2015-03-01,95,False
2015-03-08,97,False
2015-03-15,91,False
2015-03-22,92,False
2015-03-29,85,False
2015-04-05,88,False
2015-04-12,91,False
2015-04-19,90,False
2015-04-26,87,False
2015-05-03,85,False
2015-05-10,86,False
2015-05-17,86,False
2015-05-24,84,False
2015-05-31,92,False
2015-06-07,90,False
2015-06-14,86,False
2015-06-21,81,False
2015-06-28,77,False
2015-07-05,83,False
2015-07-12,86,False
2015-07-19,86,False
2015-07-26,83,False
2015-08-02,88,False
2015-08-09,87,False
2015-08-16,87,False
2015-08-23,88,False
2015-08-30,88,False
2015-09-06,89,False
2015-09-13,89,False
2015-09-20,87,False
2015-09-27,89,False
2015-10-04,88,False
2015-10-11,85,False
2015-10-18,88,False
2015-10-25,90,False
2015-11-01,89,False
2015-11-08,86,False
2015-11-15,89,False
2015-11-22,80,False
2015-11-29,96,False
2015-12-06,100,False
2015-12-13,89,False
2015-12-20,64,False
2015-12-27,71,False
