date,youth,isPartial
2014-01-05,84,False
2014-01-12,87,False
2014-01-19,87,False
2014-01-26,85,False
2014-02-02,85,False
2014-02-09,86,False
2014-02-16,88,False
2014-02-23,100,False
2014-03-02,95,False
2014-03-09,96,False
2014-03-16,93,False
2014-03-23,94,False
2014-03-30,95,False
2014-04-06,94,False
2014-04-13,86,False
2014-04-20,90,False
2014-04-27,98,False
2014-05-04,90,False
2014-05-11,95,False
2014-05-18,89,False
2014-05-25,86,False
2014-06-01,92,False
2014-06-08,88,False
2014-06-15,87,False
2014-06-22,85,False
2014-06-29,71,False
2014-07-06,81,False
2014-07-13,87,False
2014-07-20,87,False
2014-07-27,85,False
2014-08-03,89,False
2014-08-10,89,False
2014-08-17,91,False
2014-08-24,87,False
2014-08-31,91,False
2014-09-07,93,False
2014-09-14,91,False
2014-09-21,90,False
2014-09-28,88,False
2014-10-05,90,False
2014-10-12,89,False
2014-10-19,90,False
2014-10-26,86,False
2014-11-02,87,False
2014-11-09,88,False
2014-11-16,90,False
2014-11-23,77,False
2014-11-30,96,False
2014-12-07,96,False
2014-12-14,86,False
2014-12-21,55,False
2014-12-28,64,False
