date,youth,isPartial
2016-01-03,86,False
2016-01-10,85,False
2016-01-17,84,False
2016-01-24,90,False
2016-01-31,92,False
2016-02-07,87,False
2016-02-14,89,False
2016-02-21,99,False
2016-02-28,100,False
2016-03-06,100,False
2016-03-13,94,False
2016-03-20,99,False
2016-03-27,97,False
2016-04-03,99,False
2016-04-10,99,False
2016-04-17,92,False
2016-04-24,97,False
2016-05-01,90,False
2016-05-08,92,False
2016-05-15,94,False
2016-05-22,88,False
2016-05-29,86,False
2016-06-05,90,False
2016-06-12,83,False
2016-06-19,80,False
2016-06-26,78,False
2016-07-03,74,False
2016-07-10,81,False
2016-07-17,86,False
2016-07-24,86,False
2016-07-31,87,False
2016-08-07,86,False
2016-08-14,82,False
2016-08-21,88,False
2016-08-28,81,False
2016-09-04,87,False
2016-09-11,89,False
2016-09-18,84,False
2016-09-25,83,False
2016-10-02,84,False
2016-10-09,83,False
2016-10-16,87,False
2016-10-23,85,False
2016-10-30,82,False
2016-11-06,78,False
2016-11-13,87,False
2016-11-20,78,False
2016-11-27,92,False
2016-12-04,95,False
2016-12-11,89,False
2016-12-18,70,False
2016-12-25,58,False
