date,wounded,isPartial
2014-01-05,53,False
2014-01-12,60,False
2014-01-19,57,False
2014-01-26,62,False
2014-02-02,52,False
2014-02-09,52,False
2014-02-16,59,False
2014-02-23,58,False
2014-03-02,57,False
2014-03-09,50,False
2014-03-16,48,False
2014-03-23,52,False
2014-03-30,60,False
2014-04-06,52,False
2014-04-13,57,False
2014-04-20,55,False
2014-04-27,59,False
2014-05-04,54,False
2014-05-11,53,False
2014-05-18,58,False
2014-05-25,63,False
2014-06-01,52,False
2014-06-08,49,False
2014-06-15,43,False
2014-06-22,45,False
2014-06-29,53,False
2014-07-06,51,False
2014-07-13,49,False
2014-07-20,49,False
2014-07-27,49,False
2014-08-03,48,False
2014-08-10,45,False
2014-08-17,52,False
2014-08-24,52,False
2014-08-31,60,False
2014-09-07,57,False
2014-09-14,51,False
2014-09-21,54,False
2014-09-28,60,False
2014-10-05,62,False
2014-10-12,54,False
2014-10-19,55,False
2014-10-26,63,False
2014-11-02,62,False
2014-11-09,80,False
2014-11-16,61,False
2014-11-23,55,False
2014-11-30,55,False
2014-12-07,63,False
2014-12-14,70,False
2014-12-21,70,False
2014-12-28,100,False
