date,wounded,isPartial
2013-01-06,51,False
2013-01-13,61,False
2013-01-20,59,False
2013-01-27,56,False
2013-02-03,62,False
2013-02-10,48,False
2013-02-17,52,False
2013-02-24,63,False
2013-03-03,59,False
2013-03-10,50,False
2013-03-17,56,False
2013-03-24,65,False
2013-03-31,59,False
2013-04-07,52,False
2013-04-14,69,False
2013-04-21,62,False
2013-04-28,67,False
2013-05-05,56,False
2013-05-12,58,False
2013-05-19,61,False
2013-05-26,64,False
2013-06-02,55,False
2013-06-09,50,False
2013-06-16,47,False
2013-06-23,50,False
2013-06-30,47,False
2013-07-07,52,False
2013-07-14,49,False
2013-07-21,46,False
2013-07-28,41,False
2013-08-04,45,False
2013-08-11,44,False
2013-08-18,48,False
2013-08-25,40,False
2013-09-01,51,False
2013-09-08,57,False
2013-09-15,53,False
2013-09-22,53,False
2013-09-29,55,False
2013-10-06,57,False
2013-10-13,63,False
2013-10-20,63,False
2013-10-27,56,False
2013-11-03,87,False
2013-11-10,100,False
2013-11-17,71,False
2013-11-24,54,False
2013-12-01,60,False
2013-12-08,63,False
2013-12-15,63,False
2013-12-22,59,False
2013-12-29,72,False
