date,wounded,isPartial
2015-01-04,93,False
2015-01-11,78,False
2015-01-18,75,False
2015-01-25,81,False
2015-02-01,75,False
2015-02-08,63,False
2015-02-15,60,False
2015-02-22,65,False
2015-03-01,61,False
2015-03-08,61,False
2015-03-15,57,False
2015-03-22,68,False
2015-03-29,62,False
2015-04-05,57,False
2015-04-12,59,False
2015-04-19,71,False
2015-04-26,65,False
2015-05-03,73,False
2015-05-10,68,False
2015-05-17,72,False
2015-05-24,81,False
2015-05-31,67,False
2015-06-07,58,False
2015-06-14,59,False
2015-06-21,47,False
2015-06-28,74,False
2015-07-05,68,False
2015-07-12,66,False
2015-07-19,60,False
2015-07-26,57,False
2015-08-02,51,False
2015-08-09,56,False
2015-08-16,54,False
2015-08-23,55,False
2015-08-30,60,False
2015-09-06,65,False
2015-09-13,64,False
2015-09-20,59,False
2015-09-27,67,False
2015-10-04,72,False
2015-10-11,64,False
2015-10-18,67,False
2015-10-25,70,False
2015-11-01,82,False
2015-11-08,98,False
2015-11-15,70,False
2015-11-22,56,False
2015-11-29,83,False
2015-12-06,79,False
2015-12-13,79,False
2015-12-20,73,False
2015-12-27,100,False
