date,wounded,isPartial
2011-01-02,38,False
2011-01-09,47,False
2011-01-16,35,False
2011-01-23,100,False
2011-01-30,58,False
2011-02-06,41,False
2011-02-13,39,False
2011-02-20,52,False
2011-02-27,50,False
2011-03-06,49,False
2011-03-13,53,False
2011-03-20,49,False
2011-03-27,62,False
2011-04-03,48,False
2011-04-10,51,False
2011-04-17,76,False
2011-04-24,52,False
2011-05-01,65,False
2011-05-08,48,False
2011-05-15,60,False
2011-05-22,50,False
2011-05-29,58,False
2011-06-05,48,False
2011-06-12,57,False
2011-06-19,43,False
2011-06-26,39,False
2011-07-03,39,False
2011-07-10,35,False
2011-07-17,42,False
2011-07-24,40,False
2011-07-31,44,False
2011-08-07,44,False
2011-08-14,38,False
2011-08-21,47,False
2011-08-28,42,False
2011-09-04,51,False
2011-09-11,59,False
2011-09-18,64,False
2011-09-25,62,False
2011-10-02,65,False
2011-10-09,56,False
2011-10-16,57,False
2011-10-23,56,False
2011-10-30,52,False
2011-11-06,84,False
2011-11-13,68,False
2011-11-20,58,False
2011-11-27,62,False
2011-12-04,62,False
2011-12-11,67,False
2011-12-18,52,False
2011-12-25,48,False
