date,wounded,isPartial
2016-01-03,36,False
2016-01-10,28,False
2016-01-17,29,False
2016-01-24,100,False
2016-01-31,52,False
2016-02-07,36,False
2016-02-14,32,False
2016-02-21,34,False
2016-02-28,34,False
2016-03-06,61,False
2016-03-13,41,False
2016-03-20,31,False
2016-03-27,27,False
2016-04-03,25,False
2016-04-10,26,False
2016-04-17,26,False
2016-04-24,25,False
2016-05-01,26,False
2016-05-08,25,False
2016-05-15,25,False
2016-05-22,27,False
2016-05-29,27,False
2016-06-05,21,False
2016-06-12,100,False
2016-06-19,27,False
2016-06-26,23,False
2016-07-03,20,False
2016-07-10,25,False
2016-07-17,20,False
2016-07-24,19,False
2016-07-31,19,False
2016-08-07,18,False
2016-08-14,17,False
2016-08-21,19,False
2016-08-28,25,False
2016-09-04,30,False
2016-09-11,25,False
2016-09-18,24,False
2016-09-25,28,False
2016-10-02,25,False
2016-10-09,22,False
2016-10-16,24,False
2016-10-23,25,False
2016-10-30,27,False
2016-11-06,29,False
2016-11-13,28,False
2016-11-20,28,False
2016-11-27,29,False
2016-12-04,28,False
2016-12-11,26,False
2016-12-18,22,False
2016-12-25,25,False
