geoName,hopelessness
Alabama,70
Alaska,0
Arizona,41
Arkansas,58
California,69
Colorado,81
Connecticut,32
Delaware,0
District of Columbia,59
Florida,61
Georgia,100
Hawaii,0
Idaho,0
Illinois,77
Indiana,41
Iowa,27
Kansas,68
Kentucky,36
Louisiana,22
Maine,0
Maryland,97
Massachusetts,64
Michigan,58
Minnesota,82
Mississippi,47
Missouri,37
Montana,0
Nebraska,67
Nevada,47
New Hampshire,0
New Jersey,51
New Mexico,75
New York,47
North Carolina,55
North Dakota,0
Ohio,58
Oklahoma,29
Oregon,42
Pennsylvania,62
Rhode Island,0
South Carolina,30
South Dakota,0
Tennessee,65
Texas,61
Utah,37
Vermont,0
Virginia,35
Washington,38
West Virginia,0
Wisconsin,78
Wyoming,0
