geoName,hopelessness
Alabama,45
Alaska,0
Arizona,35
Arkansas,82
California,50
Colorado,72
Connecticut,42
Delaware,0
District of Columbia,29
Florida,40
Georgia,48
Hawaii,0
Idaho,0
Illinois,33
Indiana,57
Iowa,51
Kansas,27
Kentucky,73
Louisiana,34
Maine,0
Maryland,31
Massachusetts,36
Michigan,64
Minnesota,5
Mississippi,88
Missouri,38
Montana,0
Nebraska,92
Nevada,43
New Hampshire,0
New Jersey,45
New Mexico,73
New York,40
North Carolina,41
North Dakota,0
Ohio,54
Oklahoma,26
Oregon,51
Pennsylvania,55
Rhode Island,0
South Carolina,100
South Dakota,0
Tennessee,68
Texas,52
Utah,51
Vermont,0
Virginia,52
Washington,34
West Virginia,0
Wisconsin,33
Wyoming,0
