geoName,hopelessness
Alabama,71
Alaska,0
Arizona,55
Arkansas,29
California,63
Colorado,76
Connecticut,68
Delaware,0
District of Columbia,100
Florida,47
Georgia,44
Hawaii,0
Idaho,0
Illinois,64
Indiana,56
Iowa,24
Kansas,0
Kentucky,48
Louisiana,52
Maine,0
Maryland,84
Massachusetts,69
Michigan,37
Minnesota,51
Mississippi,86
Missouri,54
Montana,0
Nebraska,32
Nevada,21
New Hampshire,0
New Jersey,57
New Mexico,67
New York,62
North Carolina,61
North Dakota,65
Ohio,61
Oklahoma,79
Oregon,44
Pennsylvania,68
Rhode Island,0
South Carolina,55
South Dakota,0
Tennessee,78
Texas,54
Utah,63
Vermont,0
Virginia,53
Washington,57
West Virginia,0
Wisconsin,40
Wyoming,0
