geoName,hopelessness
Alabama,21
Alaska,0
Arizona,38
Arkansas,65
California,32
Colorado,42
Connecticut,43
Delaware,0
District of Columbia,28
Florida,30
Georgia,20
Hawaii,0
Idaho,0
Illinois,36
Indiana,39
Iowa,25
Kansas,21
Kentucky,24
Louisiana,16
Maine,0
Maryland,38
Massachusetts,36
Michigan,36
Minnesota,35
Mississippi,71
Missouri,35
Montana,0
Nebraska,100
Nevada,7
New Hampshire,0
New Jersey,27
New Mexico,61
New York,30
North Carolina,27
North Dakota,0
Ohio,45
Oklahoma,38
Oregon,30
Pennsylvania,46
Rhode Island,0
South Carolina,32
South Dakota,0
Tennessee,43
Texas,29
Utah,14
Vermont,0
Virginia,37
Washington,28
West Virginia,0
Wisconsin,19
Wyoming,0
