date,hopelessness,isPartial
2011-01-02,28,False
2011-01-09,49,False
2011-01-16,64,False
2011-01-23,53,False
2011-01-30,71,False
2011-02-06,47,False
2011-02-13,75,False
2011-02-20,75,False
2011-02-27,36,False
2011-03-06,46,False
2011-03-13,77,False
2011-03-20,62,False
2011-03-27,67,False
2011-04-03,47,False
2011-04-10,57,False
2011-04-17,58,False
2011-04-24,47,False
2011-05-01,62,False
2011-05-08,47,False
2011-05-15,57,False
2011-05-22,64,False
2011-05-29,61,False
2011-06-05,37,False
2011-06-12,54,False
2011-06-19,42,False
2011-06-26,48,False
2011-07-03,39,False
2011-07-10,47,False
2011-07-17,57,False
2011-07-24,71,False
2011-07-31,36,False
2011-08-07,25,False
2011-08-14,26,False
2011-08-21,65,False
2011-08-28,35,False
2011-09-04,40,False
2011-09-11,53,False
2011-09-18,57,False
2011-09-25,52,False
2011-10-02,71,False
2011-10-09,51,False
2011-10-16,75,False
2011-10-23,74,False
2011-10-30,57,False
2011-11-06,64,False
2011-11-13,58,False
2011-11-20,38,False
2011-11-27,65,False
2011-12-04,100,False
2011-12-11,61,False
2011-12-18,19,False
2011-12-25,34,False
