geoName,hopelessness
Alabama,56
Alaska,0
Arizona,100
Arkansas,35
California,47
Colorado,60
Connecticut,90
Delaware,0
District of Columbia,35
Florida,55
Georgia,42
Hawaii,0
Idaho,0
Illinois,48
Indiana,19
Iowa,35
Kansas,57
Kentucky,43
Louisiana,55
Maine,0
Maryland,50
Massachusetts,49
Michigan,46
Minnesota,82
Mississippi,62
Missouri,67
Montana,0
Nebraska,80
Nevada,66
New Hampshire,0
New Jersey,57
New Mexico,43
New York,57
North Carolina,49
North Dakota,0
Ohio,60
Oklahoma,56
Oregon,12
Pennsylvania,64
Rhode Island,0
South Carolina,38
South Dakota,0
Tennessee,93
Texas,49
Utah,66
Vermont,0
Virginia,48
Washington,42
West Virginia,0
Wisconsin,66
Wyoming,0
