date,hopelessness,isPartial
2012-01-01,55,False
2012-01-08,67,False
2012-01-15,62,False
2012-01-22,65,False
2012-01-29,88,False
2012-02-05,61,False
2012-02-12,64,False
2012-02-19,46,False
2012-02-26,76,False
2012-03-04,53,False
2012-03-11,71,False
2012-03-18,38,False
2012-03-25,42,False
2012-04-01,38,False
2012-04-08,88,False
2012-04-15,74,False
2012-04-22,79,False
2012-04-29,41,False
2012-05-06,93,False
2012-05-13,56,False
2012-05-20,33,False
2012-05-27,59,False
2012-06-03,53,False
2012-06-10,72,False
2012-06-17,63,False
2012-06-24,52,False
2012-07-01,54,False
2012-07-08,42,False
2012-07-15,70,False
2012-07-22,60,False
2012-07-29,42,False
2012-08-05,37,False
2012-08-12,55,False
2012-08-19,46,False
2012-08-26,46,False
2012-09-02,18,False
2012-09-09,66,False
2012-09-16,66,False
2012-09-23,91,False
2012-09-30,47,False
2012-10-07,89,False
2012-10-14,87,False
2012-10-21,100,False
2012-10-28,77,False
2012-11-04,87,False
2012-11-11,47,False
2012-11-18,71,False
2012-11-25,64,False
2012-12-02,49,False
2012-12-09,81,False
2012-12-16,42,False
2012-12-23,38,False
2012-12-30,43,False
