date,overeating,isPartial
2016-01-03,71,False
2016-01-10,51,False
2016-01-17,75,False
2016-01-24,73,False
2016-01-31,73,False
2016-02-07,72,False
2016-02-14,55,False
2016-02-21,92,False
2016-02-28,76,False
2016-03-06,60,False
2016-03-13,59,False
2016-03-20,75,False
2016-03-27,79,False
2016-04-03,77,False
2016-04-10,71,False
2016-04-17,86,False
2016-04-24,57,False
2016-05-01,59,False
2016-05-08,80,False
2016-05-15,80,False
2016-05-22,61,False
2016-05-29,81,False
2016-06-05,67,False
2016-06-12,64,False
2016-06-19,75,False
2016-06-26,58,False
2016-07-03,72,False
2016-07-10,52,False
2016-07-17,82,False
2016-07-24,56,False
2016-07-31,52,False
2016-08-07,68,False
2016-08-14,49,False
2016-08-21,64,False
2016-08-28,51,False
2016-09-04,76,False
2016-09-11,45,False
2016-09-18,45,False
2016-09-25,69,False
2016-10-02,48,False
2016-10-09,79,False
2016-10-16,62,False
2016-10-23,65,False
2016-10-30,53,False
2016-11-06,61,False
2016-11-13,68,False
2016-11-20,96,False
2016-11-27,70,False
2016-12-04,67,False
2016-12-11,62,False
2016-12-18,69,False
2016-12-25,100,False
