date,overeating,isPartial
2014-01-05,39,False
2014-01-12,57,False
2014-01-19,55,False
2014-01-26,69,False
2014-02-02,56,False
2014-02-09,68,False
2014-02-16,66,False
2014-02-23,81,False
2014-03-02,64,False
2014-03-09,59,False
2014-03-16,65,False
2014-03-23,51,False
2014-03-30,49,False
2014-04-06,66,False
2014-04-13,65,False
2014-04-20,51,False
2014-04-27,72,False
2014-05-04,82,False
2014-05-11,51,False
2014-05-18,63,False
2014-05-25,100,False
2014-06-01,64,False
2014-06-08,53,False
2014-06-15,55,False
2014-06-22,63,False
2014-06-29,57,False
2014-07-06,57,False
2014-07-13,48,False
2014-07-20,64,False
2014-07-27,56,False
2014-08-03,64,False
2014-08-10,55,False
2014-08-17,49,False
2014-08-24,30,False
2014-08-31,54,False
2014-09-07,57,False
2014-09-14,40,False
2014-09-21,50,False
2014-09-28,48,False
2014-10-05,37,False
2014-10-12,47,False
2014-10-19,56,False
2014-10-26,56,False
2014-11-02,56,False
2014-11-09,51,False
2014-11-16,47,False
2014-11-23,84,False
2014-11-30,51,False
2014-12-07,52,False
2014-12-14,53,False
2014-12-21,53,False
2014-12-28,54,False
