date,overeating,isPartial
2015-01-04,78,False
2015-01-11,76,False
2015-01-18,66,False
2015-01-25,94,False
2015-02-01,64,False
2015-02-08,61,False
2015-02-15,72,False
2015-02-22,57,False
2015-03-01,70,False
2015-03-08,81,False
2015-03-15,70,False
2015-03-22,78,False
2015-03-29,81,False
2015-04-05,74,False
2015-04-12,100,False
2015-04-19,81,False
2015-04-26,63,False
2015-05-03,53,False
2015-05-10,52,False
2015-05-17,60,False
2015-05-24,72,False
2015-05-31,74,False
2015-06-07,52,False
2015-06-14,50,False
2015-06-21,63,False
2015-06-28,56,False
2015-07-05,83,False
2015-07-12,91,False
2015-07-19,78,False
2015-07-26,65,False
2015-08-02,75,False
2015-08-09,65,False
2015-08-16,82,False
2015-08-23,50,False
2015-08-30,53,False
2015-09-06,62,False
2015-09-13,58,False
2015-09-20,66,False
2015-09-27,63,False
2015-10-04,58,False
2015-10-11,69,False
2015-10-18,73,False
2015-10-25,56,False
2015-11-01,58,False
2015-11-08,74,False
2015-11-15,72,False
2015-11-22,93,False
2015-11-29,94,False
2015-12-06,72,False
2015-12-13,71,False
2015-12-20,82,False
2015-12-27,62,False
