geoName,psychiatrist
Alabama,84
Alaska,39
Arizona,68
Arkansas,68
California,64
Colorado,67
Connecticut,89
Delaware,79
District of Columbia,75
Florida,77
Georgia,73
Hawaii,67
Idaho,56
Illinois,70
Indiana,66
Iowa,59
Kansas,70
Kentucky,76
Louisiana,73
Maine,84
Maryland,100
Massachusetts,76
Michigan,66
Minnesota,60
Mississippi,74
Missouri,84
Montana,61
Nebraska,52
Nevada,59
New Hampshire,60
New Jersey,80
New Mexico,75
New York,83
North Carolina,77
North Dakota,54
Ohio,71
Oklahoma,74
Oregon,59
Pennsylvania,81
Rhode Island,87
South Carolina,76
South Dakota,49
Tennessee,84
Texas,76
Utah,53
Vermont,65
Virginia,81
Washington,60
West Virginia,76
Wisconsin,57
Wyoming,24
