date,psychiatrist,isPartial
2016-01-03,95,False
2016-01-10,92,False
2016-01-17,87,False
2016-01-24,89,False
2016-01-31,87,False
2016-02-07,84,False
2016-02-14,85,False
2016-02-21,93,False
2016-02-28,87,False
2016-03-06,80,False
2016-03-13,82,False
2016-03-20,88,False
2016-03-27,82,False
2016-04-03,89,False
2016-04-10,89,False
2016-04-17,89,False
2016-04-24,85,False
2016-05-01,85,False
2016-05-08,92,False
2016-05-15,89,False
2016-05-22,85,False
2016-05-29,77,False
2016-06-05,83,False
2016-06-12,84,False
2016-06-19,76,False
2016-06-26,83,False
2016-07-03,74,False
2016-07-10,85,False
2016-07-17,83,False
2016-07-24,81,False
2016-07-31,76,False
2016-08-07,86,False
2016-08-14,85,False
2016-08-21,86,False
2016-08-28,100,False
2016-09-04,82,False
2016-09-11,90,False
2016-09-18,92,False
2016-09-25,97,False
2016-10-02,89,False
2016-10-09,93,False
2016-10-16,90,False
2016-10-23,92,False
2016-10-30,88,False
2016-11-06,81,False
2016-11-13,86,False
2016-11-20,64,False
2016-11-27,95,False
2016-12-04,89,False
2016-12-11,85,False
2016-12-18,72,False
2016-12-25,71,False
