geoName,psychiatrist
Alabama,93
Alaska,44
Arizona,77
Arkansas,75
California,70
Colorado,66
Connecticut,98
Delaware,94
District of Columbia,86
Florida,88
Georgia,96
Hawaii,81
Idaho,51
Illinois,76
Indiana,70
Iowa,68
Kansas,66
Kentucky,92
Louisiana,87
Maine,64
Maryland,100
Massachusetts,78
Michigan,75
Minnesota,61
Mississippi,76
Missouri,92
Montana,51
Nebraska,62
Nevada,75
New Hampshire,65
New Jersey,94
New Mexico,72
New York,94
North Carolina,73
North Dakota,63
Ohio,71
Oklahoma,76
Oregon,51
Pennsylvania,93
Rhode Island,96
South Carolina,76
South Dakota,56
Tennessee,86
Texas,83
Utah,62
Vermont,78
Virginia,90
Washington,62
West Virginia,95
Wisconsin,62
Wyoming,53
