date,psychiatrist,isPartial
2011-01-02,94,False
2011-01-09,89,False
2011-01-16,86,False
2011-01-23,91,False
2011-01-30,86,False
2011-02-06,85,False
2011-02-13,89,False
2011-02-20,89,False
2011-02-27,88,False
2011-03-06,81,False
2011-03-13,72,False
2011-03-20,77,False
2011-03-27,84,False
2011-04-03,82,False
2011-04-10,76,False
2011-04-17,88,False
2011-04-24,90,False
2011-05-01,86,False
2011-05-08,78,False
2011-05-15,82,False
2011-05-22,90,False
2011-05-29,72,False
2011-06-05,81,False
2011-06-12,82,False
2011-06-19,84,False
2011-06-26,77,False
2011-07-03,87,False
2011-07-10,87,False
2011-07-17,87,False
2011-07-24,81,False
2011-07-31,80,False
2011-08-07,79,False
2011-08-14,79,False
2011-08-21,91,False
2011-08-28,81,False
2011-09-04,86,False
2011-09-11,87,False
2011-09-18,96,False
2011-09-25,99,False
2011-10-02,98,False
2011-10-09,94,False
2011-10-16,88,False
2011-10-23,94,False
2011-10-30,92,False
2011-11-06,83,False
2011-11-13,100,False
2011-11-20,65,False
2011-11-27,87,False
2011-12-04,89,False
2011-12-11,81,False
2011-12-18,65,False
2011-12-25,64,False
