date,psychiatrist,isPartial
2014-01-05,91,False
2014-01-12,94,False
2014-01-19,83,False
2014-01-26,94,False
2014-02-02,88,False
2014-02-09,82,False
2014-02-16,84,False
2014-02-23,88,False
2014-03-02,85,False
2014-03-09,89,False
2014-03-16,84,False
2014-03-23,84,False
2014-03-30,87,False
2014-04-06,90,False
2014-04-13,81,False
2014-04-20,94,False
2014-04-27,91,False
2014-05-04,89,False
2014-05-11,90,False
2014-05-18,88,False
2014-05-25,80,False
2014-06-01,85,False
2014-06-08,80,False
2014-06-15,92,False
2014-06-22,78,False
2014-06-29,76,False
2014-07-06,84,False
2014-07-13,86,False
2014-07-20,90,False
2014-07-27,87,False
2014-08-03,86,False
2014-08-10,94,False
2014-08-17,87,False
2014-08-24,89,False
2014-08-31,92,False
2014-09-07,98,False
2014-09-14,95,False
2014-09-21,93,False
2014-09-28,89,False
2014-10-05,93,False
2014-10-12,86,False
2014-10-19,87,False
2014-10-26,100,False
2014-11-02,99,False
2014-11-09,89,False
2014-11-16,87,False
2014-11-23,68,False
2014-11-30,89,False
2014-12-07,90,False
2014-12-14,80,False
2014-12-21,62,False
2014-12-28,70,False
