geoName,psychiatrist
Alabama,87
Alaska,51
Arizona,77
Arkansas,69
California,68
Colorado,69
Connecticut,100
Delaware,85
District of Columbia,88
Florida,82
Georgia,81
Hawaii,73
Idaho,52
Illinois,73
Indiana,68
Iowa,67
Kansas,58
Kentucky,85
Louisiana,91
Maine,77
Maryland,99
Massachusetts,84
Michigan,64
Minnesota,64
Mississippi,78
Missouri,78
Montana,45
Nebraska,67
Nevada,61
New Hampshire,57
New Jersey,86
New Mexico,63
New York,87
North Carolina,80
North Dakota,53
Ohio,66
Oklahoma,75
Oregon,44
Pennsylvania,94
Rhode Island,89
South Carolina,83
South Dakota,51
Tennessee,82
Texas,80
Utah,57
Vermont,76
Virginia,88
Washington,63
West Virginia,90
Wisconsin,58
Wyoming,46
