geoName,psychiatrist
Alabama,91
Alaska,42
Arizona,65
Arkansas,75
California,66
Colorado,63
Connecticut,77
Delaware,92
District of Columbia,83
Florida,82
Georgia,81
Hawaii,73
Idaho,47
Illinois,69
Indiana,65
Iowa,60
Kansas,44
Kentucky,86
Louisiana,91
Maine,54
Maryland,100
Massachusetts,82
Michigan,70
Minnesota,63
Mississippi,67
Missouri,85
Montana,49
Nebraska,53
Nevada,58
New Hampshire,53
New Jersey,85
New Mexico,71
New York,84
North Carolina,75
North Dakota,54
Ohio,65
Oklahoma,73
Oregon,41
Pennsylvania,84
Rhode Island,82
South Carolina,65
South Dakota,53
Tennessee,81
Texas,77
Utah,54
Vermont,72
Virginia,56
Washington,57
West Virginia,88
Wisconsin,57
Wyoming,67
