date,psychiatrist,isPartial
2012-01-01,85,False
2012-01-08,88,False
2012-01-15,95,False
2012-01-22,100,False
2012-01-29,89,False
2012-02-05,91,False
2012-02-12,84,False
2012-02-19,88,False
2012-02-26,90,False
2012-03-04,95,False
2012-03-11,84,False
2012-03-18,77,False
2012-03-25,88,False
2012-04-01,80,False
2012-04-08,85,False
2012-04-15,89,False
2012-04-22,85,False
2012-04-29,81,False
2012-05-06,87,False
2012-05-13,87,False
2012-05-20,77,False
2012-05-27,85,False
2012-06-03,84,False
2012-06-10,81,False
2012-06-17,85,False
2012-06-24,79,False
2012-07-01,70,False
2012-07-08,85,False
2012-07-15,82,False
2012-07-22,98,False
2012-07-29,96,False
2012-08-05,84,False
2012-08-12,88,False
2012-08-19,91,False
2012-08-26,93,False
2012-09-02,94,False
2012-09-09,98,False
2012-09-16,93,False
2012-09-23,92,False
2012-09-30,86,False
2012-10-07,88,False
2012-10-14,89,False
2012-10-21,84,False
2012-10-28,77,False
2012-11-04,75,False
2012-11-11,86,False
2012-11-18,70,False
2012-11-25,87,False
2012-12-02,88,False
2012-12-09,80,False
2012-12-16,76,False
2012-12-23,68,False
2012-12-30,75,False
