date,psychiatrist,isPartial
2015-01-04,88,False
2015-01-11,92,False
2015-01-18,89,False
2015-01-25,87,False
2015-02-01,95,False
2015-02-08,88,False
2015-02-15,76,False
2015-02-22,88,False
2015-03-01,91,False
2015-03-08,92,False
2015-03-15,90,False
2015-03-22,89,False
2015-03-29,84,False
2015-04-05,83,False
2015-04-12,84,False
2015-04-19,83,False
2015-04-26,84,False
2015-05-03,86,False
2015-05-10,87,False
2015-05-17,84,False
2015-05-24,85,False
2015-05-31,81,False
2015-06-07,84,False
2015-06-14,81,False
2015-06-21,83,False
2015-06-28,76,False
2015-07-05,88,False
2015-07-12,93,False
2015-07-19,90,False
2015-07-26,84,False
2015-08-02,89,False
2015-08-09,89,False
2015-08-16,92,False
2015-08-23,93,False
2015-08-30,93,False
2015-09-06,92,False
2015-09-13,99,False
2015-09-20,93,False
2015-09-27,96,False
2015-10-04,100,False
2015-10-11,97,False
2015-10-18,97,False
2015-10-25,95,False
2015-11-01,99,False
2015-11-08,100,False
2015-11-15,91,False
2015-11-22,67,False
2015-11-29,97,False
2015-12-06,87,False
2015-12-13,91,False
2015-12-20,68,False
2015-12-27,70,False
