date,psychiatrist,isPartial
2013-01-06,93,False
2013-01-13,100,False
2013-01-20,91,False
2013-01-27,90,False
2013-02-03,86,False
2013-02-10,87,False
2013-02-17,91,False
2013-02-24,90,False
2013-03-03,89,False
2013-03-10,88,False
2013-03-17,85,False
2013-03-24,96,False
2013-03-31,93,False
2013-04-07,96,False
2013-04-14,91,False
2013-04-21,92,False
2013-04-28,89,False
2013-05-05,89,False
2013-05-12,90,False
2013-05-19,83,False
2013-05-26,82,False
2013-06-02,89,False
2013-06-09,90,False
2013-06-16,91,False
2013-06-23,84,False
2013-06-30,78,False
2013-07-07,95,False
2013-07-14,87,False
2013-07-21,90,False
2013-07-28,89,False
2013-08-04,93,False
2013-08-11,88,False
2013-08-18,92,False
2013-08-25,94,False
2013-09-01,82,False
2013-09-08,92,False
2013-09-15,90,False
2013-09-22,97,False
2013-09-29,95,False
2013-10-06,90,False
2013-10-13,89,False
2013-10-20,86,False
2013-10-27,90,False
2013-11-03,98,False
2013-11-10,92,False
2013-11-17,88,False
2013-11-24,62,False
2013-12-01,88,False
2013-12-08,84,False
2013-12-15,79,False
2013-12-22,56,False
2013-12-29,77,False
