geoName,demoralized
Alabama,0
Alaska,0
Arizona,22
Arkansas,0
California,43
Colorado,0
Connecticut,88
Delaware,0
District of Columbia,57
Florida,24
Georgia,27
Hawaii,100
Idaho,0
Illinois,23
Indiana,16
Iowa,0
Kansas,89
Kentucky,0
Louisiana,19
Maine,0
Maryland,45
Massachusetts,39
Michigan,14
Minnesota,21
Mississippi,0
Missouri,24
Montana,0
Nebraska,0
Nevada,62
New Hampshire,54
New Jersey,39
New Mexico,0
New York,32
North Carolina,29
North Dakota,0
Ohio,35
Oklahoma,60
Oregon,17
Pennsylvania,35
Rhode Island,0
South Carolina,66
South Dakota,0
Tennessee,28
Texas,35
Utah,55
Vermont,0
Virginia,42
Washington,39
West Virginia,0
Wisconsin,27
Wyoming,0
