geoName,demoralized
Alabama,16
Alaska,0
Arizona,37
Arkansas,0
California,42
Colorado,37
Connecticut,43
Delaware,0
District of Columbia,15
Florida,45
Georgia,28
Hawaii,26
Idaho,0
Illinois,52
Indiana,65
Iowa,100
Kansas,70
Kentucky,50
Louisiana,0
Maine,0
Maryland,69
Massachusetts,37
Michigan,31
Minnesota,24
Mississippi,0
Missouri,50
Montana,0
Nebraska,0
Nevada,33
New Hampshire,38
New Jersey,57
New Mexico,0
New York,46
North Carolina,53
North Dakota,0
Ohio,31
Oklahoma,28
Oregon,28
Pennsylvania,51
Rhode Island,0
South Carolina,26
South Dakota,0
Tennessee,44
Texas,38
Utah,38
Vermont,0
Virginia,34
Washington,49
West Virginia,0
Wisconsin,18
Wyoming,0
