geoName,demoralized
Alabama,55
Alaska,0
Arizona,39
Arkansas,0
California,44
Colorado,45
Connecticut,17
Delaware,0
District of Columbia,82
Florida,54
Georgia,56
Hawaii,0
Idaho,0
Illinois,42
Indiana,50
Iowa,21
Kansas,35
Kentucky,42
Louisiana,17
Maine,0
Maryland,100
Massachusetts,62
Michigan,23
Minnesota,54
Mississippi,0
Missouri,38
Montana,0
Nebraska,0
Nevada,18
New Hampshire,0
New Jersey,51
New Mexico,0
New York,46
North Carolina,43
North Dakota,0
Ohio,40
Oklahoma,89
Oregon,56
Pennsylvania,62
Rhode Island,0
South Carolina,35
South Dakota,0
Tennessee,64
Texas,46
Utah,57
Vermont,0
Virginia,17
Washington,19
West Virginia,0
Wisconsin,28
Wyoming,0
