geoName,demoralized
Alabama,41
Alaska,0
Arizona,16
Arkansas,0
California,80
Colorado,43
Connecticut,79
Delaware,0
District of Columbia,59
Florida,50
Georgia,51
Hawaii,75
Idaho,0
Illinois,82
Indiana,56
Iowa,0
Kansas,96
Kentucky,15
Louisiana,29
Maine,0
Maryland,67
Massachusetts,69
Michigan,67
Minnesota,55
Mississippi,0
Missouri,100
Montana,0
Nebraska,0
Nevada,70
New Hampshire,40
New Jersey,53
New Mexico,0
New York,53
North Carolina,44
North Dakota,0
Ohio,29
Oklahoma,18
Oregon,44
Pennsylvania,34
Rhode Island,0
South Carolina,63
South Dakota,0
Tennessee,41
Texas,60
Utah,35
Vermont,0
Virginia,41
Washington,59
West Virginia,0
Wisconsin,70
Wyoming,0
