geoName,demoralized
Alabama,100
Alaska,0
Arizona,30
Arkansas,0
California,30
Colorado,15
Connecticut,25
Delaware,0
District of Columbia,22
Florida,38
Georgia,32
Hawaii,0
Idaho,0
Illinois,18
Indiana,21
Iowa,76
Kansas,41
Kentucky,31
Louisiana,34
Maine,0
Maryland,31
Massachusetts,29
Michigan,32
Minnesota,28
Mississippi,0
Missouri,19
Montana,0
Nebraska,0
Nevada,43
New Hampshire,69
New Jersey,63
New Mexico,0
New York,28
North Carolina,10
North Dakota,0
Ohio,10
Oklahoma,0
Oregon,22
Pennsylvania,39
Rhode Island,0
South Carolina,30
South Dakota,0
Tennessee,20
Texas,35
Utah,76
Vermont,0
Virginia,11
Washington,34
West Virginia,0
Wisconsin,0
Wyoming,0
