date,despair,isPartial
2012-01-01,63,False
2012-01-08,66,False
2012-01-15,81,False
2012-01-22,85,False
2012-01-29,77,False
2012-02-05,84,False
2012-02-12,68,False
2012-02-19,75,False
2012-02-26,81,False
2012-03-04,82,False
2012-03-11,76,False
2012-03-18,74,False
2012-03-25,82,False
2012-04-01,72,False
2012-04-08,69,False
2012-04-15,68,False
2012-04-22,79,False
2012-04-29,71,False
2012-05-06,72,False
2012-05-13,98,False
2012-05-20,78,False
2012-05-27,57,False
2012-06-03,62,False
2012-06-10,59,False
2012-06-17,58,False
2012-06-24,54,False
2012-07-01,52,False
2012-07-08,63,False
2012-07-15,68,False
2012-07-22,57,False
2012-07-29,64,False
2012-08-05,66,False
2012-08-12,56,False
2012-08-19,58,False
2012-08-26,57,False
2012-09-02,69,False
2012-09-09,76,False
2012-09-16,64,False
2012-09-23,63,False
2012-09-30,75,False
2012-10-07,64,False
2012-10-14,61,False
2012-10-21,72,False
2012-10-28,80,False
2012-11-04,100,False
2012-11-11,80,False
2012-11-18,64,False
2012-11-25,66,False
2012-12-02,88,False
2012-12-09,89,False
2012-12-16,85,False
2012-12-23,69,False
2012-12-30,54,False
