date,hurt,isPartial
2016-01-03,88,False
2016-01-10,82,False
2016-01-17,81,False
2016-01-24,82,False
2016-01-31,79,False
2016-02-07,80,False
2016-02-14,81,False
2016-02-21,81,False
2016-02-28,79,False
2016-03-06,81,False
2016-03-13,82,False
2016-03-20,85,False
2016-03-27,79,False
2016-04-03,83,False
2016-04-10,86,False
2016-04-17,80,False
2016-04-24,100,False
2016-05-01,83,False
2016-05-08,88,False
2016-05-15,90,False
2016-05-22,88,False
2016-05-29,90,False
2016-06-05,87,False
2016-06-12,87,False
2016-06-19,85,False
2016-06-26,86,False
2016-07-03,88,False
2016-07-10,84,False
2016-07-17,86,False
2016-07-24,87,False
2016-07-31,84,False
2016-08-07,85,False
2016-08-14,79,False
2016-08-21,85,False
2016-08-28,86,False
2016-09-04,86,False
2016-09-11,82,False
2016-09-18,85,False
2016-09-25,85,False
2016-10-02,83,False
2016-10-09,86,False
2016-10-16,90,False
2016-10-23,85,False
2016-10-30,84,False
2016-11-06,79,False
2016-11-13,84,False
2016-11-20,85,False
2016-11-27,80,False
2016-12-04,83,False
2016-12-11,83,False
2016-12-18,81,False
2016-12-25,86,False
