date,hurt,isPartial
2015-01-04,86,False
2015-01-11,85,False
2015-01-18,92,False
2015-01-25,86,False
2015-02-01,83,False
2015-02-08,84,False
2015-02-15,83,False
2015-02-22,85,False
2015-03-01,89,False
2015-03-08,88,False
2015-03-15,84,False
2015-03-22,85,False
2015-03-29,86,False
2015-04-05,89,False
2015-04-12,87,False
2015-04-19,90,False
2015-04-26,86,False
2015-05-03,90,False
2015-05-10,88,False
2015-05-17,93,False
2015-05-24,96,False
2015-05-31,100,False
2015-06-07,95,False
2015-06-14,98,False
2015-06-21,97,False
2015-06-28,98,False
2015-07-05,96,False
2015-07-12,95,False
2015-07-19,95,False
2015-07-26,97,False
2015-08-02,99,False
2015-08-09,94,False
2015-08-16,92,False
2015-08-23,90,False
2015-08-30,89,False
2015-09-06,91,False
2015-09-13,93,False
2015-09-20,91,False
2015-09-27,90,False
2015-10-04,92,False
2015-10-11,90,False
2015-10-18,88,False
2015-10-25,88,False
2015-11-01,91,False
2015-11-08,86,False
2015-11-15,92,False
2015-11-22,88,False
2015-11-29,89,False
2015-12-06,87,False
2015-12-13,87,False
2015-12-20,91,False
2015-12-27,99,False
