date,pessimistic,isPartial
2012-01-01,70,False
2012-01-08,70,False
2012-01-15,72,False
2012-01-22,74,False
2012-01-29,81,False
2012-02-05,87,False
2012-02-12,77,False
2012-02-19,79,False
2012-02-26,82,False
2012-03-04,100,False
2012-03-11,69,False
2012-03-18,81,False
2012-03-25,57,False
2012-04-01,82,False
2012-04-08,73,False
2012-04-15,96,False
2012-04-22,82,False
2012-04-29,69,False
2012-05-06,56,False
2012-05-13,67,False
2012-05-20,82,False
2012-05-27,49,False
2012-06-03,64,False
2012-06-10,85,False
2012-06-17,59,False
2012-06-24,68,False
2012-07-01,54,False
2012-07-08,60,False
2012-07-15,62,False
2012-07-22,58,False
2012-07-29,63,False
2012-08-05,72,False
2012-08-12,63,False
2012-08-19,65,False
2012-08-26,72,False
2012-09-02,82,False
2012-09-09,75,False
2012-09-16,98,False
2012-09-23,90,False
2012-09-30,71,False
2012-10-07,85,False
2012-10-14,69,False
2012-10-21,91,False
2012-10-28,74,False
2012-11-04,95,False
2012-11-11,93,False
2012-11-18,72,False
2012-11-25,79,False
2012-12-02,100,False
2012-12-09,88,False
2012-12-16,68,False
2012-12-23,53,False
2012-12-30,72,False
