date,pessimistic,isPartial
2013-01-06,75,False
2013-01-13,85,False
2013-01-20,80,False
2013-01-27,95,False
2013-02-03,89,False
2013-02-10,70,False
2013-02-17,71,False
2013-02-24,96,False
2013-03-03,79,False
2013-03-10,89,False
2013-03-17,93,False
2013-03-24,77,False
2013-03-31,64,False
2013-04-07,79,False
2013-04-14,72,False
2013-04-21,88,False
2013-04-28,84,False
2013-05-05,75,False
2013-05-12,78,False
2013-05-19,62,False
2013-05-26,64,False
2013-06-02,67,False
2013-06-09,63,False
2013-06-16,65,False
2013-06-23,59,False
2013-06-30,60,False
2013-07-07,74,False
2013-07-14,65,False
2013-07-21,77,False
2013-07-28,56,False
2013-08-04,66,False
2013-08-11,61,False
2013-08-18,64,False
2013-08-25,72,False
2013-09-01,68,False
2013-09-08,94,False
2013-09-15,87,False
2013-09-22,91,False
2013-09-29,90,False
2013-10-06,100,False
2013-10-13,75,False
2013-10-20,89,False
2013-10-27,78,False
2013-11-03,88,False
2013-11-10,96,False
2013-11-17,74,False
2013-11-24,60,False
2013-12-01,68,False
2013-12-08,72,False
2013-12-15,68,False
2013-12-22,56,False
2013-12-29,53,False
