date,pessimistic,isPartial
2016-01-03,68,False
2016-01-10,70,False
2016-01-17,85,False
2016-01-24,77,False
2016-01-31,81,False
2016-02-07,68,False
2016-02-14,82,False
2016-02-21,80,False
2016-02-28,87,False
2016-03-06,80,False
2016-03-13,78,False
2016-03-20,86,False
2016-03-27,82,False
2016-04-03,81,False
2016-04-10,85,False
2016-04-17,81,False
2016-04-24,84,False
2016-05-01,82,False
2016-05-08,84,False
2016-05-15,82,False
2016-05-22,70,False
2016-05-29,68,False
2016-06-05,75,False
2016-06-12,71,False
2016-06-19,73,False
2016-06-26,68,False
2016-07-03,46,False
2016-07-10,56,False
2016-07-17,54,False
2016-07-24,70,False
2016-07-31,60,False
2016-08-07,51,False
2016-08-14,55,False
2016-08-21,67,False
2016-08-28,75,False
2016-09-04,78,False
2016-09-11,82,False
2016-09-18,79,False
2016-09-25,87,False
2016-10-02,72,False
2016-10-09,80,False
2016-10-16,78,False
2016-10-23,78,False
2016-10-30,79,False
2016-11-06,97,False
2016-11-13,90,False
2016-11-20,61,False
2016-11-27,100,False
2016-12-04,86,False
2016-12-11,83,False
2016-12-18,70,False
2016-12-25,44,False
