date,pessimistic,isPartial
2014-01-05,56,False
2014-01-12,70,False
2014-01-19,71,False
2014-01-26,71,False
2014-02-02,61,False
2014-02-09,74,False
2014-02-16,70,False
2014-02-23,70,False
2014-03-02,77,False
2014-03-09,61,False
2014-03-16,69,False
2014-03-23,65,False
2014-03-30,62,False
2014-04-06,58,False
2014-04-13,58,False
2014-04-20,56,False
2014-04-27,79,False
2014-05-04,59,False
2014-05-11,61,False
2014-05-18,64,False
2014-05-25,57,False
2014-06-01,65,False
2014-06-08,55,False
2014-06-15,59,False
2014-06-22,46,False
2014-06-29,68,False
2014-07-06,58,False
2014-07-13,51,False
2014-07-20,47,False
2014-07-27,44,False
2014-08-03,34,False
2014-08-10,51,False
2014-08-17,53,False
2014-08-24,56,False
2014-08-31,48,False
2014-09-07,71,False
2014-09-14,68,False
2014-09-21,64,False
2014-09-28,99,False
2014-10-05,69,False
2014-10-12,99,False
2014-10-19,76,False
2014-10-26,62,False
2014-11-02,45,False
2014-11-09,100,False
2014-11-16,87,False
2014-11-23,69,False
2014-11-30,69,False
2014-12-07,71,False
2014-12-14,66,False
2014-12-21,40,False
2014-12-28,43,False
